Organism,# of protein- coding genes
HIV 1,9
Influenza A virus,10
Bacteriophage 1,66
Epstein Barr virus,80
Buchnera sp.,610
T. maritima,1900
S. aureus,2700
V. cholerae,3900
B. subtilis,4400
E. coli,4300
S. cerevisiae,6600
C. elegans,20000
A. thaliana,27000
D. melanogaster,14000
F. rubripes,19000
Z. mays,33000
M. musculus,20000
H. sapiens,21000
T. aestivum (hexaploid),95000
